train_loss,val_loss,train accuracy,val accuracy
0.22131918679711013,0.2205277648550873,0.6806768059555126,0.6729152322551073
0.21403904744613927,0.22664456303753988,0.687164112127602,0.6234633875969737
0.2123808241242682,0.22077185648637196,0.6904219965767987,0.677048940916024
0.21262802778677797,0.21761552984664262,0.6900314516681383,0.6827212584059149
0.21104219860855153,0.2200866124753065,0.6890308884414231,0.6348339278424024
0.20990288976575752,0.21499690616189318,0.6878768894510251,0.6845387143335403
0.20954835866074364,0.21937296089253502,0.689856116900152,0.6761269516900651
0.20839647806209066,0.21915383825043713,0.6912492038775291,0.6817372366045427
0.2084342504225447,0.2166164559291395,0.6921472108448139,0.6831833858149647
0.2079646925895642,0.22034225656578682,0.6903031733430282,0.6810767585076238
