train_loss,val_loss,train accuracy,val accuracy
1.3860933586238222,1.3264076586919087,"tensor(0.2869, device='cuda:0')",0.3425814234016888
1.2539523417563925,1.146808701223957,"tensor(0.3810, device='cuda:0')",0.6079613992762364
1.1041549538062305,0.6710918984594214,"tensor(0.4769, device='cuda:0')",0.7571371129875352
1.0269283907916564,0.4401423434978167,"tensor(0.5196, device='cuda:0')",0.8576598311218335
0.9922722734647833,0.4935343825090924,"tensor(0.5427, device='cuda:0')",0.8681141938078005
0.9314802639381682,0.44497568945197824,"tensor(0.5741, device='cuda:0')",0.9312424607961399
0.9101531847875928,0.4089050776103102,"tensor(0.5876, device='cuda:0')",0.9155609167671894
0.8873815891540852,0.6321183934329946,"tensor(0.5920, device='cuda:0')",0.8387615601125854
0.8518273246160195,0.4342167520461957,"tensor(0.6159, device='cuda:0')",0.8910333735424206
0.8470513750789179,0.4292534631319347,"tensor(0.6155, device='cuda:0')",0.8954563731403297
