train_loss,val_loss,train accuracy,val accuracy
1.4011189888744118,1.3740252954297436,"tensor(0.2634, device='cuda:0')",0.3848009650180941
1.3344319776273748,1.2783650968225309,"tensor(0.3254, device='cuda:0')",0.41777241656614394
0.952639490422851,0.5421443029962537,"tensor(0.5690, device='cuda:0')",0.7792521109770808
0.488827468257742,0.7291513191103127,"tensor(0.8077, device='cuda:0')",0.8403699236027342
0.38795395371516006,0.6723599681714707,"tensor(0.8484, device='cuda:0')",0.8451950140731805
0.3066951554858614,0.5494825833540249,"tensor(0.8821, device='cuda:0')",0.8371531966224367
0.3016362003417119,0.35740663665685235,"tensor(0.8808, device='cuda:0')",0.8693204664254122
0.2739041152156637,0.5165194934431384,"tensor(0.8929, device='cuda:0')",0.8536389223964616
0.23403982981868096,0.3331048641402106,"tensor(0.9041, device='cuda:0')",0.8777643747486932
0.23372171328855668,0.44520798090808256,"tensor(0.9083, device='cuda:0')",0.8580619219943707
0.2030068527344243,0.7131264720133214,"tensor(0.9188, device='cuda:0')",0.8536389223964616
0.20322965404703291,0.482999272654028,"tensor(0.9218, device='cuda:0')",0.8942501005227181
0.16907667053074538,0.5009923502579785,"tensor(0.9326, device='cuda:0')",0.8673100120627262
0.1711680204637945,0.47840012924250247,"tensor(0.9323, device='cuda:0')",0.8769601930036188
0.15728620328080684,0.39766746326565044,"tensor(0.9375, device='cuda:0')",0.8568556493767592
