Multiprocess type:  no
         4667601 function calls (4482113 primitive calls) in 3655.651 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2726    0.008    0.000    0.018    0.000 format.py:223(read_magic)
    55199    0.017    0.000    0.017    0.000 {built-in method __new__ of type object at 0x00007FFBC482DCB0}
     2136    0.007    0.000    0.017    0.000 format.py:344(header_data_from_array_1_0)
       23    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
   145070    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
       23    0.014    0.001    0.015    0.001 {built-in method _imp.create_dynamic}
136882/136396    0.015    0.000    0.015    0.000 {built-in method builtins.len}
     2726    0.009    0.000    0.015    0.000 contextlib.py:458(_push_cm_exit)
        1    0.000    0.000    0.014    0.014 __init__.py:274(load)
        1    0.000    0.000    0.012    0.012 _pickle.py:1(<module>)
        1    0.000    0.000    0.012    0.012 cli.py:1(<module>)
      153    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
     4863    0.003    0.000    0.011    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
    23/18    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1172(exec_module)
    23/18    0.001    0.000    0.011    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
       46    0.000    0.000    0.010    0.000 std.py:460(print_status)
     2136    0.007    0.000    0.010    0.000 format.py:252(dtype_to_descr)
      153    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     2726    0.009    0.000    0.009    0.000 format.py:288(descr_to_dtype)
       35    0.000    0.000    0.009    0.000 sre_compile.py:759(compile)
     1891    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      153    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.009    0.004 __init__.py:299(loads)
        2    0.000    0.000    0.009    0.004 decoder.py:332(decode)
        2    0.009    0.004    0.009    0.004 decoder.py:343(raw_decode)
       46    0.000    0.000    0.008    0.000 std.py:1151(__str__)
     4863    0.008    0.000    0.008    0.000 {built-in method _abc._abc_instancecheck}
       46    0.002    0.000    0.008    0.000 std.py:467(format_meter)
     4862    0.006    0.000    0.008    0.000 py3k.py:49(isfileobj)
        1    0.000    0.000    0.008    0.008 _distributor_init.py:1(<module>)
       46    0.000    0.000    0.008    0.000 std.py:454(fp_write)
       94    0.000    0.000    0.007    0.000 utils.py:193(inner)
    51794    0.007    0.000    0.007    0.000 {method 'span' of 're.Match' objects}
    17132    0.007    0.000    0.007    0.000 encoder.py:223(floatstr)
    51813    0.007    0.000    0.007    0.000 enum.py:753(value)
        1    0.000    0.000    0.007    0.007 multi_module.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:26(<module>)
  385/382    0.003    0.000    0.007    0.000 {built-in method builtins.__build_class__}
     8622    0.007    0.000    0.007    0.000 {built-in method builtins.repr}
      243    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
     2185    0.006    0.000    0.007    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.007    0.007 core.py:1(<module>)
      222    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.006    0.006 __init__.py:15(<module>)
      138    0.000    0.000    0.006    0.000 utils.py:377(disp_len)
        1    0.000    0.000    0.006    0.006 std.py:1(<module>)
     4580    0.006    0.000    0.006    0.000 {built-in method builtins.min}
        1    0.001    0.001    0.006    0.006 numeric.py:1(<module>)
      138    0.000    0.000    0.006    0.000 utils.py:373(_text_width)
        1    0.000    0.000    0.006    0.006 context.py:1(<module>)
       35    0.000    0.000    0.006    0.000 sre_parse.py:937(parse)
        2    0.000    0.000    0.006    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
      138    0.001    0.000    0.006    0.000 {built-in method builtins.sum}
     2136    0.006    0.000    0.006    0.000 format.py:201(magic)
    10107    0.006    0.000    0.006    0.000 {method 'replace' of 'str' objects}
   122/35    0.000    0.000    0.006    0.000 sre_parse.py:435(_parse_sub)
   303/36    0.002    0.000    0.005    0.000 sre_parse.py:493(_parse)
    32845    0.005    0.000    0.005    0.000 {method 'isidentifier' of 'str' objects}
     5452    0.005    0.000    0.005    0.000 {method 'startswith' of 'bytes' objects}
     2726    0.003    0.000    0.005    0.000 {built-in method builtins.all}
        1    0.004    0.004    0.005    0.005 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.005    0.005 index_tricks.py:1(<module>)
        1    0.000    0.000    0.005    0.005 secrets.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:32(__enter__)
